Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,CalReg,HIDDEN,BURSTMODE
Z_DLTA_ANGLE,0,44,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Z_DLTA_ANGLE,0,46,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
X_DLTA_VEL,0,48,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
X_DLTA_VEL,0,50,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_DLTA_VEL,0,52,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_DLTA_VEL,0,54,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Z_DLTA_VEL,0,56,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Z_DLTA_VEL,0,58,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
XG_BIAS_LOW,0,64,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
XG_BIAS_OUT,0,66,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
YG_BIAS_LOW,0,68,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
YG_BIAS_OUT,0,70,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
ZG_BIAS_LOW,0,72,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
ZG_BIAS_OUT,0,74,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
XA_BIAS_LOW,0,76,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
XA_BIAS_OUT,0,78,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
YA_BIAS_LOW,0,80,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
YA_BIAS_OUT,0,82,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
ZA_BIAS_LOW,0,84,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
ZA_BIAS_OUT,0,86,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
FILT_CTRL,0,92,2,0,1,16,TRUE,TRUE,FALSE,0,FALSE,FALSE,
RANG_CTRL,0,94,2,0,1,16,TRUE,TRUE,FALSE,15,FALSE,FALSE,
MSC_CTRL,0,96,2,0,1,16,TRUE,TRUE,FALSE,0,FALSE,FALSE,
UP_SCALE,0,98,2,0,1,16,TRUE,TRUE,FALSE,0,FALSE,FALSE,
DEC_RATE,0,100,2,0,1,16,TRUE,TRUE,FALSE,0,FALSE,FALSE,
NULL_CNFG,0,102,2,0,1,16,TRUE,TRUE,FALSE,1802,FALSE,FALSE,
COMMAND,0,104,2,0,1,16,FALSE,TRUE,FALSE,none,FALSE,FALSE,T
FIRM_REV,0,108,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
DATE_DM,0,110,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
DATE_Y,0,112,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
PROD_ID,0,114,2,0,1,16,TRUE,FALSE,FALSE,16500,FALSE,FALSE,
SERIAL_NUM,0,116,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
USER_SCR1,0,118,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_SCR2,0,120,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_SCR3,0,122,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
FLSHCNT_LOW,0,124,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
FLSHCNT_HIGH,0,126,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
PAGE_ID,253,0,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_CONFIG,253,2,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_LEN,253,4,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_MAX_CNT,253,6,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
IMU_DR_CONFIG,253,8,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
IMU_SPI_CONFIG,253,10,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_DR_CONFIG,253,12,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_SPI_CONFIG,253,14,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_COMMAND,253,16,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_SCR_1,253,18,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_SCR_2,253,20,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_SCR_3,253,22,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_SCR_4,253,24,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
PAGE_ID,254,0,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_0,254,6,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_1,254,8,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_2,254,10,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_3,254,12,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_4,254,14,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_5,254,16,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_6,254,18,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_7,254,20,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_8,254,22,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_9,254,24,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_10,254,26,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_11,254,28,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_12,254,30,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_13,254,32,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_14,254,34,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_15,254,36,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_16,254,38,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_17,254,40,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_18,254,42,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_19,254,44,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_20,254,46,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_21,254,48,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_22,254,50,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_23,254,52,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_24,254,54,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_25,254,56,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_26,254,58,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_27,254,60,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_28,254,62,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_29,254,64,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_30,254,66,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_WRITE_31,254,68,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
PAGE_ID,255,0,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_CNT,255,2,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_RETRIEVE,255,4,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_0,255,6,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_1,255,8,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_2,255,10,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_3,255,12,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_4,255,14,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_5,255,16,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_6,255,18,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_7,255,20,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_8,255,22,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_9,255,24,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_10,255,26,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_11,255,28,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_12,255,30,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_13,255,32,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_14,255,34,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_15,255,36,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_16,255,38,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_17,255,40,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_18,255,42,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_19,255,44,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_20,255,46,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_21,255,48,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_22,255,50,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_23,255,52,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_24,255,54,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_25,255,56,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_26,255,58,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_27,255,60,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_28,255,62,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_29,255,64,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_30,255,66,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
BUF_DATA_31,255,68,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
