TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-067508-01-a.csv,,,,,,,,,,,,,,,,,,,
DATE: 04/23/2021,,,,,,,,,,,,,,,,,,,
DESIGN: 02_067508a_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
22,1,E003751,RES SMD 10K Ohm 1% 1/10W 0402 AEC-Q200, 10K,R0402,1,N/A,1/10W,R13,PANASONIC, ERJ-2RKF1002X,REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,?
23,1,E026676,RES SMD 3.3K Ohm 1% 1/20W 0201, 3.3K,R0201,1,N/A,1/20W,R14,PANASONIC, ERJ-1GNF3301C,REL,N/A,N/A,N/A,N/A,N/A,?,?
24,3,E032279,RES SMD 10K Ohm 5% 1/20W 0201, 10K,R0201,5,N/A,1/20W,"R6,R15,R16",PANASONIC, ERJ-1GNJ103C,REL,N/A,N/A,N/A,N/A,N/A,?,?
25,2,E007054,RES SMD 5.1K Ohm 1% 1/20W 0201, 5.1K,R0201,1,N/A,1/20W,"R2,R3",PANASONIC, ERJ-1GNF5101C,REL,N/A,N/A,N/A,1406_CAB3,7007835,?,?
26,1,E010371,RES SMD 1.5K Ohm 5% 1/20W 0201, 1.5K,R0201,5,8.66V,1/20W,R5,YAGEO, RC0201JR-071K5L,REL,N/A,41816JH1494,N/A,N/A,7005565,?,?
28,1,E032382,RES SMD 0 Ohm 5% 1/20W 0201,0,R0201,5,N/A,1/20W,R9,BOURNS, CR0201-J/-000GLF,REL,N/A,N/A,N/A,N/A,N/A,?,?
29,1,E049739,SWITCH TACTILE NO SPST  0.01A, KMS223GPLFG,SWSML181W140H56,N/A,32VDC,N/A,S1,C&K, KMS223GPLFG,REL,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E049740,IC MCU 32-BIT ARM CORTEX M7 RISC 512KB FLASH 3.3V, STM32F722RE,LQFP64,N/A,N/A,?,U1,ST MICROELECTRONICS, STM32F722RET6,REL,N/A,N/A,N/A,N/A,N/A,?,?
31,1,E006927,IC-ADI 4/1-CHANNEL MUX, ADG1204YCPZ-500RL7,QFN12_3X3_PAD1_3X1_3,N/A,N/A,?,U2,ADI, ADG1204YCPZ-500RL7,REL,A999-1204-001,40901DG1081,N/A,N/A,N/A,?,?
32,1,E007976,IC-ADI LOW DROPOUT CMOS LIN REG, ADP1706ACPZ-3.3,QFN8_3X3_PAD1_75X1_45,N/A,3.3V,?,U3,ANALOG DEVICES, ADP1706ACPZ-3.3-R7,REL,N/A,40901JH1367,N/A,N/A,N/A,?,?
33,1,E018673,IC ADI QUAD SPST SWITCHES, ADG1611BCPZ,QFN16_4X4_PAD2_5X2_5,N/A,N/A,?,U4,ANALOG DEVICES, ADG1611BCPZ-REEL,REL,N/A,N/A,N/A,N/A,1003175,?,?
34,1,E034466,"IC CRYSTAL GLASS SEALING, 18PF LOAD CAPACITANCE 80OHM ESR", 8MEGHZ,YSML197W126H59,N/A,N/A,N/A,Y1,TXC CORPORATION, 7A-8.000MAAJ-T,REL,N/A,N/A,N/A,N/A,N/A,?,?
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The following components are part of the PCB or are NOT to be installed,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
21,1,E032382,RES SMD 0 Ohm 5% 1/20W 0201,0,R0201,5,N/A,1/20W,R11,BOURNS, CR0201-J/-000GLF,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
27,1,E032279,RES SMD 10K Ohm 5% 1/20W 0201, 10K,R0201,5,N/A,1/20W,R8,PANASONIC, ERJ-1GNJ103C,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
